id,event_time,event_type,device_name,device_ip,threat_level,category,attack_function,attack_step,signature,src_ip,src_port,src_mac,dst_ip,dst_port,dst_mac,protocol,packets_to_server,packets_to_client,bytes_to_server,bytes_to_client,created_at,event_time_hour,event_time_day,event_time_weekday,event_time_is_work_hour,created_at_hour,created_at_day,created_at_weekday,created_at_is_work_hour,src_ip_is_internal,dst_ip_is_internal,device_ip_is_internal,src_ip_segment,dst_ip_segment,device_ip_segment,same_segment,src_port_service,src_port_is_common,dst_port_service,dst_port_is_common,event_type_freq,category_freq,src_ip_freq,src_ip_segment_freq,attack_function_freq,attack_step_freq,signature_freq,total_bytes,total_packets,avg_packet_size,isolation_forest_score,kmeans_score,isolation_forest_anomaly,kmeans_anomaly,is_anomaly,anomaly_score
137154,2025-04-21 22:06:04,Alert,WxP2_CMA,174.35.74.39,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.62,0,ec:eb:b8:d1:d8:bf,10.174.228.254,0,00:00:0c:9f:f0:e4,ICMP/unknown,1,0,98,0,2025-04-21 22:10:00,22,21,0,0,22,21,0,0,1,1,1,10.174,10.174,174.35,1,other,0,other,0,1.0,0.8168044077134986,0.03168044077134986,0.40289256198347106,0.7079889807162535,0.9786501377410468,0.7079889807162535,98,1,98.0,0.6914286092736328,0.85643943428382,False,False,False,0.7574329392777077
137155,2025-04-22 06:54:13,Alert,WxP2_CMA,174.35.74.39,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.228.254,0,00:00:0c:9f:f0:e4,10.174.228.81,0,20:67:7c:df:48:78,ICMP/unknown,1,1,98,98,2025-04-22 06:55:00,6,22,1,0,6,22,1,0,1,1,1,10.174,10.174,174.35,1,other,0,other,0,1.0,0.8168044077134986,0.09228650137741047,0.40289256198347106,0.7079889807162535,0.9786501377410468,0.7079889807162535,196,2,98.0,0.6941248049332942,0.7514711784455825,False,False,False,0.7170633543382096
137156,2025-04-22 11:14:21,Alert,WxP2_CMA,174.35.74.39,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,174.35.58.22,0,18:56:80:1f:62:c4,10.174.241.7,0,00:00:0c:9f:f0:3a,ICMP/unknown,1,0,74,0,2025-04-22 11:15:00,11,22,1,1,11,22,1,1,1,1,1,174.35,10.174,174.35,0,other,0,other,0,1.0,0.8168044077134986,0.0027548209366391185,0.5495867768595041,0.7079889807162535,0.9786501377410468,0.7079889807162535,74,1,74.0,0.596621176394731,0.8291656981120504,False,False,False,0.6896389850816588
137157,2025-04-22 11:56:53,Alert,WxP2_CMA,174.35.74.39,20,攻击探测,其它攻击探测,初始化访问,TCP_网络扫描_ICMP探测,10.174.244.11,0,00:11:32:f9:6f:07,10.174.243.231,0,00:00:0c:9f:f0:f4,ICMP/unknown,1,0,98,0,2025-04-22 12:00:00,11,22,1,1,12,22,1,1,1,1,1,10.174,10.174,174.35,1,other,0,other,0,1.0,0.8168044077134986,0.01928374655647383,0.40289256198347106,0.7079889807162535,0.9786501377410468,0.7079889807162535,98,1,98.0,0.7795733090503287,0.7993734903464853,False,False,False,0.7874933815687915
137158,2025-04-22 14:27:58,Alert,WxP2_CMA,174.35.74.39,20,网络行为,其它行为审计,初始化访问,HTTP_安全风险_配置信息_Swagger接口,174.35.62.137,52526,d0:ad:08:58:96:1f,174.35.64.89,56452,00:00:0c:07:ac:3e,TCP/http,24,28,5979,18318,2025-04-22 14:30:00,14,22,1,1,14,22,1,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.002066115702479339,0.0027548209366391185,0.5495867768595041,0.002066115702479339,0.9786501377410468,0.0006887052341597796,24297,52,467.25,0.8029643550241892,0.9185581012385304,False,False,False,0.8492018535099257
137159,2025-04-22 14:41:08,Alert,WxP1_IDS,174.35.26.10,20,可疑行为,其它可疑行为,初始化访问,TCP_协议握手_SSH连接,10.174.240.211,62146,00:50:56:b0:14:d8,10.174.240.2,22,98:f2:b3:2b:9f:b4,TCP/ssh,5,4,334,282,2025-04-22 14:45:00,14,22,1,1,14,22,1,1,1,1,1,10.174,10.174,174.35,1,other,0,SSH,1,1.0,0.10330578512396695,0.01584022038567493,0.40289256198347106,0.10330578512396695,0.9786501377410468,0.10192837465564739,616,9,68.44444444444444,0.34649086989306893,0.9007446445347236,True,False,True,0.5681923797497308
137160,2025-04-22 14:41:08,Alert,WxP1_IDS,174.35.26.10,20,可疑行为,其它可疑行为,初始化访问,TCP_协议握手_SSH连接,10.174.240.211,62146,00:50:56:b0:14:d8,10.174.240.2,22,98:f2:b3:2b:9f:b4,TCP/ssh,6,4,416,282,2025-04-22 14:45:00,14,22,1,1,14,22,1,1,1,1,1,10.174,10.174,174.35,1,other,0,SSH,1,1.0,0.10330578512396695,0.01584022038567493,0.40289256198347106,0.10330578512396695,0.9786501377410468,0.10192837465564739,698,10,69.8,0.34649086989306893,0.9009994774268535,True,False,True,0.5682943129065827
137161,2025-04-22 14:42:06,Alert,WxP1_IDS,174.35.26.10,20,攻击探测,网络扫描,初始化访问,TCP_网络扫描_nmap_icmp扫描,174.35.24.66,0,44:90:46:87:a5:6f,174.35.24.254,0,00:00:0c:07:ac:18,ICMP/unknown,1,0,60,0,2025-04-22 14:45:00,14,22,1,1,14,22,1,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.8168044077134986,0.0027548209366391185,0.5495867768595041,0.10881542699724518,0.9786501377410468,0.08608815426997245,60,1,60.0,0.8075682459148654,0.9205316794613961,False,False,False,0.8527536193334777
137162,2025-04-22 16:02:41,Alert,WxP1_IDS,174.35.26.10,20,攻击探测,网络扫描,初始化访问,TCP_网络扫描_nmap_icmp扫描,174.35.24.66,0,44:90:46:87:a5:6f,174.35.24.254,0,00:00:0c:07:ac:18,ICMP/unknown,1,0,60,0,2025-04-22 16:05:00,16,22,1,1,16,22,1,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.8168044077134986,0.0027548209366391185,0.5495867768595041,0.10881542699724518,0.9786501377410468,0.08608815426997245,60,1,60.0,0.7885632098168948,0.9362153693466604,False,False,False,0.847624073628801
137163,2025-04-22 16:30:05,Alert,WxP2_CMA,174.35.74.39,30,攻击利用,配置不当/错误,初始化访问,TCP_MS_RDP远程桌面_建立低安全性连接,174.35.61.229,53909,00:00:0c:07:ac:35,174.35.53.87,3389,00:60:e0:6c:a7:6a,TCP/rdp,3,2,227,139,2025-04-22 16:35:00,16,22,1,1,16,22,1,1,1,1,1,174.35,174.35,174.35,1,other,0,other,0,1.0,0.07782369146005509,0.0048209366391184574,0.5495867768595041,0.006887052341597796,0.9786501377410468,0.006887052341597796,366,5,73.2,0.9849558519746796,0.9134353629290735,False,False,False,0.9563476563564373
